id,price
100000,4519486.4050072385
100001,2361406.351161689
100002,5974122.530122145
100003,12577810.184174078
100004,2955273.930811651
100005,2409257.3512109653
100006,3078990.938256622
100007,4575877.355437281
100008,6572919.81228803
100009,1980248.5178511252
100010,4632875.992263132
100011,2866286.727485815
100012,6954879.5310750315
100013,3583765.32427902
100014,3060407.4747787686
100015,2311433.3173313234
100016,3266908.7277321205
100017,8036338.257452086
100018,5293484.349489664
100019,2967765.5953851105
100020,3397730.933810185
100021,2587084.186121483
100022,5029345.955986852
100023,2270564.9009239376
100024,9698618.879911326
100025,3867918.8348951074
100026,6954879.5310750315
100027,3113354.998123709
100028,7848688.331875704
100029,2715591.0064701005
100030,5223012.51777662
100031,2859001.4580961186
100032,1311473.5973674736
100033,1974678.971743626
100034,8126607.4340159055
100035,3440988.020572605
100036,3383722.634196267
100037,6429907.339075733
100038,8624642.031425044
100039,9565227.193278655
100040,6022677.34356223
100041,7662097.093015832
100042,9862038.829469787
100043,5422612.971827157
100044,3315902.984372186
100045,2878216.968412693
100046,2905958.6719850674
100047,1723094.6736658423
100048,5787709.70851914
100049,4712533.300448472
100050,4660317.451033754
100051,19808314.36101758
100052,1099710.804848318
100053,4641033.490316837
100054,3848035.8621987444
100055,12573312.413561039
100056,17620819.619900182
100057,4078120.8416052256
100058,13772005.067962395
100059,2241664.017796603
100060,2442170.6077958043
100061,2325413.5921835783
100062,4161949.354550758
100063,1960184.9910161893
100064,11053743.943127075
100065,5501619.609450691
100066,6273562.818035622
100067,1742003.8261897145
100068,3885636.23955946
100069,2189711.317582165
100070,2072374.3112654237
100071,3440988.020572605
100072,4234574.64636044
100073,1636678.7717465067
100074,3204763.5653843866
100075,4692656.519690656
100076,1569118.1164094016
100077,6914857.826991469
100078,1812784.8991352606
100079,3116519.27340448
100080,4539369.377703601
100081,6827535.506481062
100082,12965613.383187758
100083,4660317.451033754
100084,6984118.3100494
100085,6377563.093698125
100086,1880614.649168655
100087,4123021.8479324584
100088,1604420.357830809
100089,11778056.4914452
100090,6116177.9185657175
100091,5755922.859744602
100092,8851920.646922894
100093,6565237.176861369
100094,7791627.138519678
100095,2934382.300118378
100096,1027120.6104724727
100097,7805170.653098752
100098,9004489.990107138
100099,4596243.865177051
100100,8600158.430125663
100101,2942279.2233887417
100102,4234304.587813566
100103,5007161.337354412
100104,2927696.6467696154
100105,1600156.1086986307
100106,2511587.996802603
100107,9967009.155189048
100108,4184175.1507268935
100109,1684782.6918312043
100110,1802342.4286618768
100111,4396344.509593376
100112,3647182.549142006
100113,2040137.902930905
100114,2827234.4157520914
100115,2321372.434807374
100116,3901449.6106400443
100117,3855718.497625406
100118,6231020.829334375
100119,10456836.715966286
100120,1499392.2238776009
100121,3333620.3890365385
100122,17775529.64051166
100123,2892034.335442675
100124,2615967.106600874
100125,4994179.027435239
100126,6930395.929775653
100127,3311093.955225388
100128,3779317.343002091
100129,1705282.9465750363
